width,height,sharpness,brightness,contrast,saturation,noise_level,label
640,427,811.0699,143.8103,59.6452,67.8735,2.1902,ACCEPTABLE
640,427,3.9938,143.7954,56.9079,64.3915,0.1805,BLUR
640,427,130.7234,49.8403,20.9178,71.2389,0.8704,UNDEREXPOSED
640,427,1673.6715,210.5944,74.3116,42.1646,2.7408,OVEREXPOSED
640,427,6110.0734,143.6384,60.7668,71.8402,11.2221,NOISY
640,356,377.602,104.5595,42.8748,100.8553,1.688,ACCEPTABLE
640,356,2.7808,104.5613,41.3461,99.4458,0.1175,BLUR
640,356,72.2314,36.1181,15.0438,103.1133,0.7109,UNDEREXPOSED
640,356,790.9238,176.0977,58.9151,90.7928,2.4364,OVEREXPOSED
640,356,5957.9179,104.1822,45.7316,106.9618,11.0718,NOISY
640,427,720.1034,66.4156,61.5872,49.6932,2.6614,ACCEPTABLE
640,427,3.9564,66.4116,58.8853,46.4225,0.1979,BLUR
640,427,124.8932,22.8173,21.5101,46.0176,1.0849,UNDEREXPOSED
640,427,1402.0457,109.023,93.1033,43.0891,3.4919,OVEREXPOSED
640,427,5092.3694,68.7223,60.6418,100.4951,10.0635,NOISY
640,462,496.4842,148.6169,44.2973,114.4247,2.6767,ACCEPTABLE
640,462,5.5737,148.5989,39.726,111.5893,0.2971,BLUR
640,462,83.2496,51.5348,15.5476,115.7831,1.0586,UNDEREXPOSED
640,462,809.2279,226.0166,41.3267,93.9104,2.6413,OVEREXPOSED
640,462,5947.8237,147.7813,46.2599,115.656,11.109,NOISY
640,494,2157.716,101.2221,65.6412,92.3499,5.5312,ACCEPTABLE
640,494,4.3557,101.2228,62.5209,87.3165,0.2221,BLUR
640,494,389.083,34.9428,23.0823,94.0696,2.2976,UNDEREXPOSED
640,494,4714.7704,156.518,82.0578,73.3532,7.5501,OVEREXPOSED
640,494,6859.5778,101.1811,65.6459,100.5934,11.8845,NOISY
640,426,3861.8292,135.8333,58.329,57.8485,6.9961,ACCEPTABLE
640,426,6.4049,135.8289,51.2763,53.1114,0.3141,BLUR
640,426,588.8984,47.0452,20.5166,59.764,2.72,UNDEREXPOSED
640,426,7292.8739,203.6026,66.3885,35.3191,9.0576,OVEREXPOSED
640,426,8951.5566,135.2823,59.8666,65.0619,13.5548,NOISY
640,427,522.3569,183.8463,52.1238,75.6943,2.2252,ACCEPTABLE
640,427,4.8214,183.8481,48.9498,74.202,0.2361,BLUR
640,427,95.0944,63.8809,18.2952,76.6771,0.9112,UNDEREXPOSED
640,427,531.2741,236.0782,40.1898,46.1757,1.6449,OVEREXPOSED
640,427,5296.0695,181.8743,52.5606,76.6149,10.435,NOISY
640,426,161.7321,133.2932,41.798,100.6667,0.9691,ACCEPTABLE
640,426,2.3695,133.285,40.624,100.1573,0.0957,BLUR
640,426,30.2914,46.1607,14.6563,101.5975,0.3998,UNDEREXPOSED
640,426,157.8592,207.1072,37.9521,67.9197,0.9745,OVEREXPOSED
